,Name,Age,Height_in_cms,Weight_in_kgs,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,LW,CF,RW,CAM,LM,CM,RM,LWB,CDM,RWB,LB,CB,RB,GK,OVA
0,A. Pasche,26,175.26,72.45,CM,258,286,346,306,290,148,48,58,61,62,61,63,63,63,63,59,59,59,58,54,58,15,64
1,Alan Carvalho,30,182.88,71.55,ST,365,375,404,372,313,77,55,77,77,77,77,76,76,68,76,57,53,57,53,48,53,18,77
2,S. Giovinco,33,162.56,60.300000000000004,CAM,336,424,424,308,332,80,21,73,80,79,80,80,79,74,79,59,56,59,53,41,53,12,80
3,J. Evans,22,177.8,68.4,CDM,242,259,282,277,257,168,42,50,51,51,51,53,53,56,53,56,58,56,57,58,57,14,59
4,Y. Demoncy,23,180.34,67.5,CDM,249,280,324,280,294,185,52,56,59,59,59,61,62,63,62,64,64,64,63,61,63,15,65
5,Yu Hanchao,33,177.8,69.3,LM,328,333,358,321,300,103,65,67,70,69,70,70,70,66,70,58,55,58,55,49,55,19,71
6,M. Darmian,30,182.88,69.3,RB,325,316,361,329,318,235,39,66,68,67,68,68,69,70,69,74,74,74,74,74,74,15,76
7,N. Mosti,22,177.8,72.45,LM,262,273,323,240,245,129,51,55,59,58,59,60,61,59,61,52,52,52,50,46,50,15,60
8,M. Čovilo,34,193.04,86.4,CB,277,281,200,343,294,192,49,57,54,56,54,56,55,61,55,59,64,59,60,68,60,16,65
9,L. Grimi,35,182.88,73.35000000000001,CB,306,270,299,346,329,205,54,62,63,62,63,63,62,64,62,65,66,65,65,68,65,16,67
10,A. Alcáraz,37,187.96,77.4,CB,269,214,257,314,292,217,56,57,54,56,54,55,54,57,54,64,64,64,65,72,65,18,72
11,A. Trezza,21,165.1,58.5,RM,256,264,385,285,222,77,53,59,64,62,64,62,63,54,63,48,42,48,45,37,45,15,64
12,M. Polster,27,182.88,76.5,CDM,271,302,280,324,302,197,60,57,60,60,60,62,63,66,63,67,69,67,66,68,66,18,68
13,A. Mozo,23,175.26,70.65,RB,272,280,371,320,285,209,47,58,63,60,63,61,66,62,66,71,69,71,71,69,71,16,73
14,H. Gambor,17,180.34,74.25,CB,219,190,299,221,198,166,37,43,43,42,43,42,44,43,44,51,49,51,54,54,54,12,54
15,V. Dávila,22,172.72,69.3,CAM,297,346,359,303,248,93,69,67,69,70,69,71,68,65,68,52,51,52,49,42,49,20,67
16,K. Müller,28,190.5,89.10000000000001,GK,101,86,246,200,103,48,307,28,26,27,26,26,28,25,28,27,25,27,27,26,27,62,63
17,M. Oddo B,35,182.88,75.60000000000001,CM,342,397,312,328,348,220,52,66,72,69,72,71,72,72,72,72,71,72,70,70,70,14,71
18,B. Edomwonyi,25,185.42,77.4,ST,293,255,366,358,251,76,57,66,65,65,65,63,64,56,64,50,45,50,48,43,48,17,66
19,Luis Felipe,24,185.42,79.2,CDM,236,241,295,297,273,184,55,53,54,54,54,56,56,59,56,60,63,60,60,62,60,16,64
20,Ander Iru,21,187.96,73.35000000000001,GK,56,79,171,166,75,31,309,20,19,20,19,20,20,21,20,18,20,18,18,18,18,61,62
21,S. Rossbach,24,187.96,79.2,GK,90,95,246,248,129,51,341,29,28,31,28,32,30,32,30,28,29,28,27,27,27,68,69
22,G. Verón,18,182.88,81.45,ST,269,233,290,296,218,82,40,58,55,56,55,54,54,49,54,43,41,43,42,40,42,13,59
23,M. Ignatov,20,187.96,78.3,CAM,279,316,303,271,250,147,57,58,63,62,63,64,64,63,64,56,56,56,55,51,55,17,64
24,T. Hopper,26,185.42,75.60000000000001,ST,290,251,322,346,264,110,43,63,60,61,60,59,59,55,59,49,48,49,48,47,48,15,63
25,R. O'Farrell,18,185.42,77.4,CAM,238,242,281,296,238,145,51,53,53,53,53,54,53,53,53,51,51,51,51,51,51,15,55
26,D. Potts,26,172.72,69.3,CB,266,246,333,280,258,195,49,55,59,57,59,58,61,59,61,64,63,64,64,65,64,15,66
27,Jovane Cabral,22,175.26,71.55,CAM,346,377,413,361,295,100,50,74,77,76,77,76,76,69,76,58,54,58,55,48,55,17,77
